id,name,location,background,incomeLevel,personalityType,tier,isGraduate,avatarUrl
1,"Frances H.","Phoenix, AZ","pilates instructor","$7.4K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w1ys10002xym9uoo1tzyd.png"
2,"Tina C.","Chesapeake, VA","EMT","$7.6K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w1z730005xym9n4j50alv.png"
3,"Janet R.","San Diego, CA","realtor","$9.7K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w1zc30006xym9hvmxhtcn.png"
4,"Janet N.","Chandler, AZ","lab tech","$8.6K/mo","struggler",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w1zh70007xym989caimdt.png"
5,"Ruth M.","Fresno, CA","single mom","$5.6K/mo","questioner",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w1zrb0009xym9gpbqq2hx.png"
6,"Virginia P.","Albuquerque, NM","physical therapist","$9.1K/mo","questioner",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w1zwa000axym9ce9izs8r.png"
7,"Ruth H.","Memphis, TN","dental hygienist","$5.8K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w206a000cxym92yegkgjy.png"
8,"Amanda H.","Chandler, AZ","professor","$10.8K/mo","struggler",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w20b8000dxym956c7n0wh.png"
9,"Gloria C.","Tucson, AZ","educator","$8.6K/mo","leader",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w20g6000exym9ejtqjanj.png"
10,"Julie F.","Pittsburgh, PA","EMT","$4.9K/mo","struggler",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w20l4000fxym9qjqkj5vk.png"
11,"Ashley P.","Spokane, WA","research scientist","$5.5K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w20q3000gxym93aq7uglx.png"
12,"Alice C.","Knoxville, TN","massage therapist","$4.9K/mo","questioner",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2101000ixym92x38srw2.png"
13,"Diane W.","Charleston, SC","research scientist","$4.8K/mo","questioner",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2153000jxym932evis9m.png"
14,"Kathleen J.","Madison, WI","esthetician","$4.2K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w21f3000lxym9gufnplky.png"
15,"Jill N.","Long Beach, CA","NP","$10.2K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w21k4000mxym9cin8nvu7.png"
16,"Danielle B.","Denver, CO","yoga instructor","$8.2K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w21p5000nxym9tp6970ld.png"
